"","duration_t2","id","model_t2","diff_model_t2","enj_t2","info_t2","up_real_t2","up_real_model_t2","up_int_mini_t2","up_int_12_t2","up_int_pro_t2","up_int_max_t2","replace_t2","charg_know","charg_lik","gen","age","sugg_t2","duration_t1","model_t1","diff_model_t1","enj_t1","up_int_t1","replace_t1","sugg_t1","family_t1","info_idx_t1","hed_dec","info_quiz_t2","up_lik","info_t2_std","up_real_t2_ctr","replace_t2_std","charg_know_ctr","charg_lik_std","up_int_t1_std","replace_t1_std","info_idx_t1_std","info_quiz_t2_std","up_lik_std","fam_contrast","n_model_t2"
"1",108,"5e8dfc8cf5166b0948471621","iPhone 8","",75.92,3,"No","",2,4,3,2,84,"Yes",4,"Male",46,"""Your response must be at least 2 characters.""",83,"iPhone 8",NA,66.2,7,10,"iphone awareness info","iPhone 8",2.33333333333333,9.72,4,4,-1.02485480213338,-1,1.59648259103661,1,-0.47315213208339,-0.665740562368099,-0.599669985773219,-0.911131072769438,-0.242745267360561,-0.81687040961554,0,29
"2",80,"5df15bc3361a8506b94f79ed","iPhone 11 Pro Max","",100,72,"No","",0,0,0,0,0,"Yes",0,"Male",32,"opinion about the new iphone",70,"iPhone 11 Pro Max",NA,100,0,0,"I don't know","iPhone 11",139.666666666667,0,6,0,1.19456921187403,-1,-0.910777587306888,1,-0.62934510356668,-0.879433932084435,-0.891486594369568,1.02498717671442,1.63711924498983,-0.93116362238948,1,9
"3",161,"5ea6d2f0bdb45d02f6221e7d","iPhone 8 Plus","",82.25,89,"Yes","iPhone 12 Mini",100,0,0,0,100,"Yes",24,"Male",51,"The question about preordering should also say do you plan to pre-order as the iPhone 12 mini is not available for preorder until next week.",83,"iPhone 8 Plus",NA,88.87,95,11,"Better understand the probability of purchasing the new iPhone.","iPhone 8",210,-6.62,5,100,1.74138382402078,1,2.07405595834013,1,0.30781272533306,2.02069037120871,-0.570488324913584,2.01654288215397,0.697186988814636,1.926166696959,0,18
"4",124,"5dd4070a57a7e13efe25534a","iPhone XR","",95.07,5,"No","",0,0,0,0,0,"No",51,"Female",57,"dont care",63,"iPhone XR",NA,86.34,6,3,"dont care","iPhone X",2.33333333333333,8.72999999999999,5,0,-0.960523671292582,-1,-0.910777587306888,-1,1.36211528284527,-0.696268186613289,-0.803941611790664,-0.911131072769438,0.697186988814636,-0.93116362238948,0.5,32
"5",108,"5f5003e56be85815f18786dc","iPhone X","",100,70,"No","",7,8,8,8,3,"No",3,"Male",26,"..",1668,"iPhone X",NA,96.9,29,2,"To gain understanding of peoples thoughts on the new iphone ","iPhone X",118,3.09999999999999,4,8,1.13023808103324,-1,-0.821232580937477,-1,-0.512200374954212,0.00586717102610274,-0.833123272650299,0.719531627645365,-0.242745267360561,-0.702577196841601,0.5,28
"6",151,"5ecc51d82004df43f3e4f42f","iPhone 11","",72.78,8,"Yes","",6,17,7,0,7,"No",7,"Female",28,"Understanding consumer trends around iPhones and upgrading ",236,"iPhone 11",NA,68.17,1,1,"buying patterns","iPhone 11",2.33333333333333,4.61,4,17,-0.864026975031391,1,-0.701839239111596,-1,-0.356007403470922,-0.848906307839244,-0.862304933509933,-0.911131072769438,-0.242745267360561,-0.445417468100238,1,52
"7",62,"5e30e028dea8d60e2ab7abd6","iPhone 6","",70,82,"No","",37,54,68,70,98,"Yes",3,"Female",26,"Perceptions of a new iPhone model release",76,"iPhone 6",NA,51.27,13,90,"Opinions about iPhone smartphones","iPhone 6S and Previous Models",104.666666666667,18.73,5,70,1.516224866078,-1,2.01435928742719,1,-0.512200374954212,-0.482574816896953,1.73486288299758,0.531558982064408,0.697186988814636,1.06896760115445,-1,10
"8",184,"5f57b14c0661d229663151a4","iPhone 8","",79.44,17,"No","",2,2,3,3,3,"Yes",2,"Female",24,"To see if I'm going to purchase the new iPhone and what I know about it",152,"iPhone 8",NA,92.39,88,14,"I think the purpose of this study was to see if someone is going to buy the new iPhone.","iPhone 8",3.33333333333333,-12.95,5,3,-0.574536886247816,-1,-0.821232580937477,1,-0.551248617825035,1.80699700149237,-0.482943342334679,-0.897033124350866,0.697186988814636,-0.845443712809025,0,29
"9",103,"5e3606315bfa435ce4d6246c","iPhone 5C","",59.3,6,"No","",2,2,2,2,100,"Yes",2,"Female",40,"n/a",51,"iPhone 7",NA,83.24,0,100,"To get phone preferences","iPhone 7",0,-23.94,4,2,-0.928358105872185,-1,2.07405595834013,1,-0.551248617825035,-0.879433932084435,2.02667949159393,-0.944026285746106,-0.242745267360561,-0.87401701600251,-0.5,1
"10",112,"5ef14bb31a0ed51490300e43","iPhone XR","",94.84,25,"Yes","",33,44,12,8,52,"Yes",0,"Female",23,"To see my opinion on iPhones ",68,"iPhone XR",NA,100,25,1,"To gauge what people think about the new iphones","iPhone X",71.3333333333333,-5.16,3,44,-0.317212362884638,1,0.641335856429562,1,-0.62934510356668,-0.116243325954661,-0.862304933509933,0.0616273681120149,-1.18267752353576,0.32606171812385,0.5,32
