"","id","condition","enj_1","des_1","enj_2","des_2","enj_3","des_3","enj_4","des_4","gen","age","wave"
"1","4575","upgrade",5,8,5,8,5,7,5,9,1,22,1
"2","1491","upgrade",6,7,5,4,7,6,6,6,2,23,1
"3","7811","upgrade",5,3,4,4,4,4,3,3,1,24,1
"4","1287","upgrade",7,7,7,7,7,7,7,7,1,41,1
"5","4004","upgrade",8,9,NA,NA,NA,NA,NA,NA,NA,NA,1
"6","1771a","upgrade",6,5,NA,NA,NA,NA,NA,NA,NA,NA,1
"7","9948","upgrade",5,5,6,6,4,4,NA,NA,NA,NA,1
"8","4604","upgrade",6,4,4,4,4,4,3,3,2,24,1
"9","7820","upgrade",6,6,6,7,6,6,6,5,2,24,1
"10","3121","upgrade",5,5,5,6,5,6,NA,NA,NA,NA,1
"11","9989","upgrade",5,6,6,9,6,9,NA,NA,NA,NA,1
"12","9984","upgrade",7,8,8,7,8,7,NA,NA,NA,NA,1
"13","5851","upgrade",7,9,8,8,7,8,7,8,1,29,1
"14","9679","upgrade",5,7,5,6,4,3,5,6,2,25,1
"15","9414","upgrade",7,6,5,6,5,6,4,4,2,20,1
"16","7499","upgrade",6,9,9,9,9,9,9,9,1,24,1
"17","1795","upgrade",4,5,4,7,4,7,4,7,1,28,1
"18","1771b","upgrade",5,6,NA,NA,NA,NA,NA,NA,NA,NA,1
"19",".0023","upgrade",4,5,5,6,5,5,5,5,2,25,1
"20","6988","upgrade",3,5,4,4,4,1,NA,NA,NA,NA,1
"21",".0804","upgrade",6,7,6,6,6,6,6,6,1,22,1
"22","7656","upgrade",1,1,1,1,5,5,1,1,1,22,1
"23","5600","upgrade",5,5,5,5,3,3,6,6,1,21,1
"24","7815","upgrade",8,9,5,5,5,5,5,5,2,22,1
"25",".0853","upgrade",7,8,8,7,7,6,NA,NA,NA,NA,1
"26","4189","upgrade",5,7,4,5,3,2,3,3,2,30,1
"27","8549","upgrade",7,6,7,7,7,7,7,8,1,23,1
"28","4329","no_upgrade",7,9,NA,NA,NA,NA,NA,NA,NA,NA,1
"29","9283","no_upgrade",6,7,7,7,6,6,5,5,1,25,1
"30","2726","no_upgrade",8,9,NA,NA,NA,NA,NA,NA,NA,NA,1
"31","5482","no_upgrade",5,5,6,7,6,7,7,8,1,21,1
"32","9502","no_upgrade",5,5,5,7,5,7,NA,NA,NA,NA,1
"33","3382","no_upgrade",4,3,5,5,5,5,6,6,1,21,1
"34","4028","no_upgrade",7,8,7,7,7,7,7,7,1,27,1
"35","7949","no_upgrade",7,5,NA,NA,NA,NA,NA,NA,NA,NA,1
"36","9763","no_upgrade",7,9,7,9,6,8,8,9,1,23,1
"37","7599","no_upgrade",3,5,NA,NA,NA,NA,NA,NA,NA,NA,1
"38","8275","no_upgrade",7,8,4,7,4,7,NA,NA,NA,NA,1
"39","8777","no_upgrade",6,6,2,5,5,5,NA,NA,NA,NA,1
"40","6012","no_upgrade",8,8,8,6,7,6,8,7,2,22,1
"41","7976","no_upgrade",9,9,NA,NA,NA,NA,NA,NA,NA,NA,1
"42","1646","no_upgrade",7,8,7,8,7,8,7,9,1,21,1
"43","8739","no_upgrade",6,5,5,5,6,6,6,6,2,30,1
"44","6697","no_upgrade",6,8,9,7,9,7,NA,NA,NA,NA,1
