"","id","duration","enj","enj_2","enj_3","enj_4","enj_5","enj_6","enj_7","enj_8","enj_9","aspir_1","aspir_2","choice","att_check","gen","age","sugg","cond","cond_str","man_check","aspir","participant"
"1","5e53f51e8388f80241544ba8",297,84.93,84.1,82.49,78.38,78.7,83.27,80.55,79.45,83.84,8,2,3,"A mellow, pianist classical song of slow nature, very nice.",1,21,"To find an audience and gather statistics about people's taste in music.",1,"upgrade",5,5,1
"2","5a0b42e4fe645f0001e9f480",306,74.08,59.44,40.42,48.17,51.69,53.52,64.51,57.61,62.11,6,3,5,"nice relaxing music",2,43,"not sure",-1,"no_upgrade",3,4.5,2
"3","5a8c4f560f1bce0001225c6a",314,45.35,56.9,35.35,51.69,40.28,50.56,48.59,46.76,43.66,8,7,5,"It was played on the piano, it is a song I have heard many times before, but do not recall the name. It begins slowly, but there are many changes in rhythm throughout.",2,20,"See if sound quality made a difference to enjoyment",1,"upgrade",7,7.5,3
"4","5af093b0c36b060001f7dda4",321,33.38,30.85,4.08,9.3,8.87,9.58,9.01,7.18,13.1,2,4,3,"Classical, played on piano, peaceful with a hint of sadness",2,32,"I don't know",-1,"no_upgrade",2,3,4
"5","5d1bac217d6d07001ebbffb6",388,97.89,94.79,26.06,11.83,8.87,1.97,0,0,0,9,9,2,"The song was a famous classical song (that I can't remember the name of) with a single piano playing.",1,25,"To understand how much people appreciate sound quality, especially after being exposed to high quality and then exposed to lower quality. It may have also been testing how quickly repetitive playing of one song can lead to disinterest.",1,"upgrade",9,9,5
"6","5e3dafda2ee93c01ebac5349",523,100,100,100,100,100,100,100,100,100,1,9,9,"i dont care",1,40,"no",1,"upgrade",8,5,6
"7","5c240d9210677f0001db0ffc",588,91.83,94.08,63.94,57.04,77.75,72.96,64.37,60.42,72.39,1,1,1,"I listened and enjoyed listening to the classical music",1,39,"listening skills",-1,"no_upgrade",1,1,7
"8","5c0ea6ec974277000123ba5f",298,96.76,85.63,84.79,83.24,81.55,82.39,85.49,81.83,82.25,2,2,1,"Classical piano music. ",2,35,"To monitor how quality affects enjoyment.",1,"upgrade",5,2,8
"9","5b82377387d85f0001bb4d97",321,19.01,17.32,19.72,29.3,19.58,20,20.28,12.11,30.14,7,7,3,"It was a well known classical piano piece",2,22,"Likely something about the quality of the audio and how it impacts the listener's enjoyment",-1,"no_upgrade",4,7,9
"10","5e3c447f33122a0230476441",423,100,98.87,99.01,89.3,86.9,80.42,75.21,81.55,70.14,1,1,1,"Slow and relaxing.",2,51,"No idea...",-1,"no_upgrade",1,1,10
"11","5986076ec0334000018fde2c",260,14.01,10.96,2.37,2.37,4.75,15.25,12.54,15.25,17.97,9,9,7,"It made me think of the music you get when you're on hold on a phone call. Repetitive, annoying. ",2,49,"To test if people could tell the difference in the sounds? I couldn't really, it was hard. ",1,"upgrade",9,9,11
"12","5ad24e5e459c350001137175",257,91.27,67.04,79.58,78.87,82.39,87.04,61.55,61.41,47.75,7,4,7,"Pianist song",2,29,"To see whether the quality of a soung makes you appreicate and enjoy it more.",1,"upgrade",9,5.5,12
"13","5c46aa7490fbe400012c3e44",388,91.41,92.68,92.11,98.03,94.93,98.59,99.3,94.23,98.17,3,9,5,"Piano player",1,40,"No idea-maybe testing if we can tell if there is a difference in sound quality",1,"upgrade",9,6,13
"14","5c2d5dd9f42a78000146b6a1",539,93.24,93.24,93.94,86.62,88.73,90.7,77.46,87.61,89.01,3,5,5,"Classical Piano Music",2,28,"If enjoyment changed with repetition",-1,"no_upgrade",1,4,14
