"","duration","id","enj_1","enj_2","enj_3","enj_4","enj_5","enj_6","desire_1","desire_2","desire_3","desire_4","desire_5","desire_6","enj_up_1","des_up_1","enj_up_2","des_up_2","enj_up_3","des_up_3","enj_sq_1","des_sq_1","enj_sq_2","des_sq_2","enj_sq_3","des_sq_3","enj_noup_1","des_noup_1","enj_noup_2","des_noup_2","enj_noup_3","des_noup_3","enj_dw_1","des_dw_1","enj_dw_2","des_dw_2","enj_dw_3","des_dw_3","att_check","gen","age","sugg","participant","cond","memo","choice","n_choice","enj_cov","des_cov"
"1",383,"595c81a9c76e6700014d345f",7,6,6,8,6,6,5,3,5,4,4,3,NA,NA,NA,NA,NA,NA,7,3,6,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"When placed side by side the Picture 2 was always blurry on my device. Otherwise the differences were very hard to discern",2,43,"I am not sure that Picture 2 was supposed to look blurry",1,"downgrade",7,"status quo",-1,6.5,4
"2",195,"5d220e523e72cb0018a4d1a4",6,7,7,7,7,7,7,6,6,6,6,6,NA,NA,NA,NA,NA,NA,7,6,7,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One was only black and white and the other had a sepia tone to it.",2,29,"I had no difficulty with this study, however I have no idea what the purpose of this might have been.",2,"no upgrade",7,"status quo",-1,6.5,6.5
"3",282,"5c4b75162cfe4d0001848bac",8,8,8,6,6,6,8,8,8,6,6,6,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was in black and white, and Picture 2 was in colour. ",2,22,"I think it was to access the viewer's interest in seeing a photo once it has been repetitively shown. ",3,"upgrade",6,"status quo",-1,8,8
"4",244,"595fc9b4d82b180001c6e44b",8,8,7,7,5,4,6,5,4,4,3,4,NA,NA,NA,NA,NA,NA,4,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"the colours and the big tower moving ( i think)",2,37,"i dont thank you",4,"upgrade",7,"status quo",-1,8,5.5
"5",225,"5783d604900cc80001d2d767",9,9,7,8,6,4,9,5,2,1,1,1,NA,NA,NA,NA,NA,NA,4,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The second one was sepia toned? I think they were otherwise the same. I'm tired of this picture now though.",1,25,"Don't know, but the gender options are both wrong.",5,"no upgrade",9,"status quo",-1,9,7
"6",255,"564f407a9b1249000e7eb0e1",9,9,9,9,9,9,8,7,6,6,6,6,NA,NA,NA,NA,NA,NA,9,5,9,5,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was greyscale and picture 2 was more sepia. ",2,29,"unsure",6,"no upgrade",9,"status quo",-1,9,7.5
"7",273,"5d0d03a686e343001a414586",6,6,5,3,1,1,7,3,2,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 2 was much more fuzzy than picture 1",2,24,"I am not sure",7,"downgrade",6,"status quo",-1,6,5
"8",279,"5ceed50750ebc8001aa4c40d",6,6,5,6,5,5,6,6,5,5,5,5,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Picture 1 was in focus, picture 2 was blurry and pixely. ",2,28,"To see if providing an incentive changed our opinion about the picture, and if providing a comparison did the same. ",8,"downgrade",6,"status quo",-1,6,6
"9",531,"5c858149bc64870012babfe3",9,9,7,9,9,8,9,9,8,9,9,9,NA,NA,NA,NA,NA,NA,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"some of the B&W pictures were more blurred",2,32,"no difficulties, can't say anything about the purpose",9,"upgrade",9,"status quo",-1,9,9
"10",250,"5cf8791c9a6b5600150360a1",7,7,7,6,6,6,7,7,7,7,6,6,NA,NA,NA,NA,NA,NA,7,7,7,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low resolution",2,36,"It was interesting. Incentive and perception. ",10,"downgrade",7,"status quo",-1,7,7
"11",462,"5c2f6b820091e40001cbcd15",7,7,6,7,6,5,7,7,5,5,3,3,NA,NA,NA,NA,NA,NA,6,3,6,3,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"One is in black and white and one in colour.  I presumed that it was the same image and preferred the original picture as the houses are more defined in black and white.  Overall a pleasant but slightly boring picture.",2,62,"To work out boredom levels of repeated viewing of the same or very similar pictures.  Maybe to get some idea of how boring tv ads can been when showing too often?",11,"upgrade",7,"status quo",-1,7,7
