"","duration","id","enj_1","enj_2","enj_3","enj_4","enj_5","enj_6","att_3","att_4","att_4_2","att_4_3","att_5","att_6","att_check","gen","age","sugg","choice","choice_str","upgrade_str","upgrade","att_str","attention","participant"
"1",204,"546e8bc6fdf99b2bc7ebd029",87.61,84.08,93.1,93.38,93.94,93.38,"",0,0,0,NA,NA,"The pictures looked virtually identical to me, except for the fact that Picture 1 was a black and white image, whereas picture 2 had more of a sepia tone to it.",2,31,"To investigate colour preferences regarding photos?",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,1
"2",288,"5c1ab1d2fc3a57000105f78b",70,66.45,73.87,48.06,53.23,48.39,"Boat church houses",1,0,1,1,"No","Colour",2,54,"Difference between black and white and colour",2,"No Upgrade","Upgrade",1,"High Attention",1,2
"3",327,"5e7397d41131702f068ded3b",48.91,52.37,39.98,46.74,57.1,56.72,"boat, water, houses",2,0,1,1,"No","picture 2 shows more how beautiful the picture actually is in colour rather than black and white",2,30,"the purpose of the study was to see how",2,"No Upgrade","Upgrade",1,"High Attention",1,3
"4",135,"5d40a7fec857740001c8cbaf",90.97,88.71,82.9,95.16,86.13,87.1,"Boat, spire, house",1,0,1,1,"No","One was colour and one was black and white ",1,32,"No idea",2,"No Upgrade","Upgrade",1,"High Attention",1,4
"5",276,"5ea3e73aa4606537f52a5506",100,100,100,100,100,99.72,"",0,0,0,NA,NA,"Picture two had a sepia colour range and picture one was black and white. I liked both pictures, and appreciated that they are different on tone but both as beautiful as the other.",2,25,"I think the aim of the study was to see if after seeing picture two would your opinion of picture one change. Most people prefer a second option.",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,5
"6",319,"5ee1383096861614003d2165",64.08,73.24,70.7,74.23,77.04,74.23,"Boat, a pointy church, houses on the water",2,0,1,1,"No","I think colour vs. black and white was the key one. Then the black and white ones looked as if the background scenery was more easy to see in some.",2,29,"To see if people notice subtle differences and whether that makes someone prefer the image or not",1,"Upgrade","Upgrade",1,"High Attention",1,6
"7",234,"5d837b808948c800017fd212",41.27,35.07,22.25,25.92,18.17,15.92,"Boat, Church, Mountains",1,0,1,1,"No","Picture 1 was grey scale, picture 2 was in colour.",1,31,"No",1,"Upgrade","Upgrade",1,"High Attention",1,7
"8",285,"5f11776932ec8239efb504be",72.41,64.21,85.19,76.56,70.44,71.53,"",0,0,0,NA,NA,"The filter used on the second picture gives it an aged feel like it has been in a frame for far too long but the first one looks like an artists interpretation for the same view",1,33,".. ",2,"No Upgrade","No Upgrade",-1,"Low Attention",-1,8
"9",221,"5e70fefda35482000b5919d4",74.37,75.92,78.45,79.44,73.24,76.48,"boat, house, tree",1,0,1,1,"No","the second picture had a more yellow tint to it",2,18,"not sure what the purpose was other than to rate the picture",2,"No Upgrade","No Upgrade",-1,"High Attention",1,9
"10",354,"5c6ae3ea5416680001befede",94.65,92.68,93.8,96.9,97.46,98.45,"A Boat, A Church and a Chimney",2,0,1,1,"No","Picture No.1 was a black and white photo of a lake side photo overview with a boat. Picture No.2 was a brown colour photo almost like it had a brown filter over it of the same place. ",2,28,"To understand people's perception of a photograph. ",2,"No Upgrade","No Upgrade",-1,"High Attention",1,10
