"","duration","id","enj","enj_2","enj_3","enj_4","enj_5","enj_6","enj_7","enj_8","att_check","gen","age","sugg","att","choice","choice_str","cond_str","cond","participant"
"1",367,"Donlou185",70.51,61.02,66.78,68.81,77.12,78.64,71.53,74.92,"Ones black and white and ones colour",2,35,"I enjoyed this study as I like scenic pictures.",-3,2,"No Upgrade","Upgrade",1,1
"2",183,"5c6ddaefdf677d00013fa313",35.63,48.17,42.11,56.2,53.66,47.75,49.01,39.86,"Black & White vs Sepia Tone",1,34,"No idea",-2.06,2,"No Upgrade","No Upgrade",-1,2
"3",321,"5eff6140945c55019b5bc57d",100,100,100,100,100,100,100,100,"Colour - one black and white and the other a browner colour. Could see more background detail in second one  ",1,20,"I couldnt really tell differences between each image",-3,2,"No Upgrade","No Upgrade",-1,3
"4",333,"5db5d65a57839d000d955bae",75.49,75.35,57.89,53.8,60.14,61.69,60.42,58.17,"I couldn't tell outside of picture 1 not being in colour and 2 being in colour.",2,21,"How we perceive something when we've seen a better version.",-1.75,1,"Upgrade","Upgrade",1,4
"5",307,"58505d5b89f4a8000152bf2f",20.28,17.46,46.62,45.77,51.13,65.35,56.34,57.46,"picture 1 is black and white, picture 2 is colour",2,38,"to appreciate black and white photography differently once you have seen the full colour version",-3,2,"No Upgrade","Upgrade",1,5
"6",285,"59663ea207ed5e0001cd1bd0",90.2,84.71,90.98,89.02,91.37,87.06,90.2,82.75,"Black and white  Colour ",2,39,"Make me think about a little sea side village and how much I need a holiday x ",-2.13,2,"No Upgrade","Upgrade",1,6
"7",341,"5cf6c8a36b59e3001958c510",64.18,58.73,63.64,63.82,65.45,64.73,61.82,64.18,"One was black and white, one sepia and possibly slightly sharper",2,63,"I have no idea unless it was to test if repetition affects appreciation.  I suspect I wasted time trying to find non-existant differences",0.67,2,"No Upgrade","No Upgrade",-1,7
"8",252,"5eb34cf21cabb113d4fc0f2d",77.89,75.21,73.8,73.8,72.39,73.24,70.56,74.37,"Colour balance? The temperature(?) is higher in image 1 than in image 2.",1,18,"I honestly do not know",-3,2,"No Upgrade","No Upgrade",-1,8
"9",340,"5d55a0f63af827001981b8d6",79.15,70.14,74.23,81.27,78.31,77.89,77.32,75.35,"That one is black and white and one in colour",2,53,"not sure",0.06,2,"No Upgrade","Upgrade",1,9
"10",232,"5985d2bcb78fa90001adf0f3",86.76,82.25,87.75,87.18,76.9,78.17,74.37,70.85,"the colour",2,53,"to see if you enjoyed it as much after repeatedly viewing the same picture",2.98,2,"No Upgrade","Upgrade",1,10
"11",270,"5dade5626726310016bf7ca3",96.2,98.31,100,100,95.07,58.03,86.62,89.58,"picture one was lighter than picture two and sharper",2,21,"observation skills or responses to colour? I'm not sure",-2.07,2,"No Upgrade","No Upgrade",-1,11
"12",273,"5e96fb0c2cb01b0116bebd4b",86.9,79.58,69.58,71.83,72.54,70.7,75.35,67.46,"one was black and white one was colour",2,28,"no idea",0.46,2,"No Upgrade","Upgrade",1,12
"13",228,"5d758d935625b90001fa4014",100,100,100,100,100,100,100,100,"The colour contrast",2,46,"I have no idea",0.06,2,"No Upgrade","No Upgrade",-1,13
"14",468,"5bff1d05b5b8b600018d9300",66.06,78.73,66.34,75.92,84.08,77.46,73.1,84.08,"They all looked the same except that one was in colour and the other was grey scale. It felt as though some of the grey scale pictures were getting brighter in tonality but I think it was probably my imagination!",2,48,"To see if the longer we view an image whether it changes our perceptions of that image?",-2.39,2,"No Upgrade","Upgrade",1,14
"15",383,"5b110955c85dc4000162058f",96.34,76.34,94.23,98.45,93.1,97.04,90.14,95.49,"The coloring was different. Picture one was black and white whereas picture 2 has a brown hue to it. ",2,29,"Consumer behaviors. Noticing small differences. ",-2.7,2,"No Upgrade","No Upgrade",-1,15
"16",193,"5c915bbb26e3ed000198a5a7",60.34,62.6,71.53,68.93,72.88,69.94,73.79,62.82,"Colour",2,28,"Attention to detail ",-1.63,2,"No Upgrade","Upgrade",1,16
"17",346,"5c56025fcb61950001038a76",65.21,57.32,79.58,69.58,62.82,72.54,75.92,73.24,"The lighting is different. Picture 2 is more 'sepia' and the lighting darker.",2,48,"To see if repetition leads to a different rating",-2.41,2,"No Upgrade","No Upgrade",-1,17
"18",234,"5ed18b5638c9f30d51af77f8",68.22,68.1,88.86,85.96,56.35,60.03,69,82.02,"The colour of the photos, perhaps saturation due to levels",2,19,"Purpose for tourism or advertising campaign ",-1.51,2,"No Upgrade","No Upgrade",-1,18
"19",278,"5ea816c31065c4215ac3fdbd",76.48,69.86,59.58,55.35,76.62,64.79,82.39,61.69,"The greyscale, black and white, contrast, brightness and sharpness were all altered in the different photos.",2,28,"To gather demographics and relate them to what is appealing in black and white photos, probably for marketing purposes ",-3,1,"Upgrade","Upgrade",1,19
"20",488,"5a903b9e4eecca0001dd10ec",95.35,95.21,91.27,90.14,90.56,92.54,90.7,89.01,"picture 1 is more brighter",2,38,"to see which picture was best",-1.71,2,"No Upgrade","No Upgrade",-1,20
"21",235,"5d5dd0b30f64720001a43f68",61.27,70.42,54.22,91.83,91.41,90.56,90,90.14,"The second picture had a more vintage, old fashioned feel to it. Even though the first picture was also in black and white, it seemed to be sharper and more modern- the black and white is being used for effect rather than due to technological limitations. ",1,22,"To work out how people make decisions.",0,1,"Upgrade","No Upgrade",-1,21
