"","id","enj_1","enj_2","enj_3","enj_4","enj_5","enj_6","enj_7","enj_8","enj_9","enj_10","enj_11","cond","choice","nber_times","att","freq","manip_check","sex","age","sugg","duration","cond_num","choi_num","participant"
"1","5a0e07739b760100013a78e3",9.9,6.81,6.3,6.04,2.7,1.93,1.41,1.41,2.44,73.39,100,"no_upgrade","status_quo",10,1,3,"Clicking on circles, avoid squares",1,24,"Check attentiveness ",6,-1,0,1
"2","5ceefd31d902a40001532686",16.07,10.67,11.7,10.93,9.38,11.18,4.24,4.76,5.01,5.27,3.98,"upgrade","new_version",8,5,9,"The Game 2 was a space themed game with an alien as the main character. You had to help the alien to collect stars in order to gain points. There were different levels that you worked your way through each with different themes and you were able to get boosts to help you. ",2,32,"Concentration and memory whilst completing a different task?",8,1,1,2
"3","5def6ce2d2601a000b05221a",15.55,16.32,21.47,100,41,43.83,36.12,44.86,62.34,54.37,36.38,"upgrade","status_quo",11,2,4,"the same as game 1~~",1,18,"improve games to be honest",5,1,0,3
"4","5c9fc6689e01ef000197d469",23.01,21.21,17.61,20.69,21.72,19.41,20.18,17.35,20.44,16.32,17.35,"no_upgrade","status_quo",0,1,2,"you ad to click on the circles and avoid the squares",2,22,"I think the purpose of the study was to judge whether people would choose money over fun or fun over money",7,-1,0,4
"5","5933e8cbf0150b0001734c49",26.56,29.02,14.27,17.34,4.43,3.61,3.41,2.79,1.15,1.77,0.95,"no_upgrade","status_quo",6,1,3,"To catch circles for positive points and not catch squares as they cause negative points",2,42,"I don't know.  I tried my best though",6,-1,0,5
"6","5c9d68f2e4a1e70001fe291e",52.65,53.78,50.28,43.75,54.42,44.01,47.24,49.3,41.71,48.44,46.8,"no_upgrade","status_quo",6,3,7,"The details of Game 2 were not described to me, and I did not play it. I only played Game 1 with the circles and squares.",2,19,"To test attention",7,-1,0,6
"7","5d20f28b4f2cea0017e5c445",69.28,73.91,43.32,47.69,60.03,42.8,69.54,55.4,67.74,71.08,64.91,"no_upgrade","status_quo",10,4,4,"click on the circles to gain x100xp.  click on the square and lose -30xp.  score as many points as you can.",1,39,"to test concentration and hand / eye coordination.",7,-1,0,7
"8","545d697dfdf99b7f9e3255e4",0.9,0.64,0.9,0.39,0.39,0,0,0,0,0,0,"no_upgrade","status_quo",10,7,6,"Click on circles and avoid squares; earn 50 points for every circle and deduct 30 points for every square.",2,22,"I think it was a study to determine attention span and time investment. ",8,-1,0,8
"9","5beb1ae6bcf7f90001084c7d",39.46,40.15,34.83,34.83,33.46,31.41,19.58,13.41,12.72,7.07,5.18,"upgrade","status_quo",10,1,7,"It involves an Alien and you catch 'stars' to level up but must avoid 'meteors'",2,20,"I don't know what the purpose is -- perhaps for marketing",7,1,0,9
"10","57faccc03073510001230cfc",73.55,79.61,66.18,64.61,68.29,67.76,62.5,62.24,57.24,62.24,58.03,"upgrade","status_quo",10,2,8,"The description was to collect stars during a space based adventure, avoiding meteors which would reduce your points when clicked. the backstory was travelling with an alien through space so it appeared to be for children rather than a game for adults.",2,49,"to test a basic hand-eye coordination game, a game of skill",9,1,0,10
